,Miestas,x,y,Gyventojų skaičius (2019 m.)
52,Panemunė,-388.0,-9.0,210
84,Troškūnai,156.0,146.0,372
69,Smalininkai,-264.0,-17.0,446
27,Kavarskas,176.0,94.0,528
10,Dusetos,341.0,200.0,560
87,Užventis,-244.0,207.0,649
51,Pandėlys,225.0,287.0,752
9,Dūkštas,434.0,122.0,765
46,Obeliai,329.0,261.0,847
88,Vabalninkas,136.0,275.0,875
98,Virbalis,-218.0,-169.0,885
70,Subačius,142.0,205.0,892
65,Seda,-343.0,342.0,953
7,Daugai,64.0,-256.0,980
90,Varniai,-298.0,195.0,995
19,Jieznas,36.0,-177.0,1023
21,Joniškėlis,35.0,286.0,1044
4,Baltoji Vokė,218.0,-227.0,1052
91,Veisiejai,-65.0,-343.0,1211
56,Priekulė,-502.0,141.0,1246
66,Simnas,-70.0,-249.0,1269
39,Linkuva,-6.0,305.0,1277
64,Salantai,-449.0,305.0,1360
101,Žagarė,-136.0,390.0,1366
59,Ramygala,51.0,117.0,1415
67,Skaudvilė,-263.0,83.0,1453
34,Kudirkos Naumiestis,-208.0,-116.0,1480
48,Pagėgiai,-379.0,8.0,1579
16,Gelgaudiškis,-194.0,-22.0,1603
13,Ežerėlis,-73.0,-90.0,1637
93,Viekšniai,-271.0,363.0,1670
82,Tytuvėnai,-151.0,147.0,1889
96,Vilkija,-75.0,-32.0,1898
63,Rūdiškės,151.0,-207.0,2030
92,Venta,-237.0,345.0,2213
0,Akmenė,-223.0,364.0,2363
5,Birštonas,9.0,-178.0,2369
73,Šeduva,-51.0,197.0,2541
3,Ariogala,-100.0,39.0,2773
11,Eišiškės,190.0,-308.0,3071
61,Rietavas,-383.0,190.0,3207
102,Žiežmariai,81.0,-110.0,3214
45,Neringa,-538.0,127.0,3464
37,Lazdijai,-93.0,-295.0,3700
25,Kalvarija,-146.0,-240.0,3858
79,Švenčionys,401.0,1.0,4139
83,Trakai,171.0,-159.0,4238
49,Pakruojis,-26.0,273.0,4407
44,Nemenčinė,278.0,-96.0,4502
94,Vievis,157.0,-125.0,4508
31,Kybartai,-230.0,-158.0,4575
75,Šilalė,-337.0,118.0,4728
78,Švenčionėliai,369.0,16.0,4856
18,Ignalina,405.0,68.0,4923
71,Šakiai,-174.0,-54.0,5003
68,Skuodas,-446.0,365.0,5289
47,Pabradė,335.0,-46.0,5435
42,Molėtai,259.0,31.0,5548
77,Širvintos,182.0,-40.0,5584
28,Kazlų Rūda,-96.0,-125.0,5666
35,Kupiškis,179.0,224.0,6076
100,Zarasai,407.0,196.0,6140
54,Pasvalys,72.0,302.0,6490
72,Šalčininkai,262.0,-267.0,6753
43,Naujoji Akmenė,-205.0,381.0,7266
24,Kaišiadorys,85.0,-88.0,7486
30,Kelmė,-191.0,164.0,7655
89,Varėna,112.0,-305.0,7987
22,Joniškis,-72.0,356.0,8358
57,Prienai,-15.0,-160.0,8516
2,Anykščiai,200.0,130.0,8632
95,Vilkaviškis,-182.0,-161.0,9621
60,Raseiniai,-160.0,76.0,9784
23,Jurbarkas,-226.0,-15.0,9831
38,Lentvaris,191.0,-159.0,10050
15,Garliava,-28.0,-109.0,10067
6,Biržai,148.0,336.0,10300
17,Grigiškės,206.0,-149.0,10764
36,Kuršėnai,-198.0,275.0,10924
12,Elektrėnai,119.0,-120.0,11276
62,Rokiškis,285.0,258.0,11993
8,Druskininkai,-9.0,-364.0,12196
14,Gargždai,-474.0,187.0,13700
76,Šilutė,-471.0,71.0,15109
58,Radviliškis,-87.0,215.0,15183
50,Palanga,-535.0,262.0,15666
33,Kretinga,-505.0,257.0,16840
55,Plungė,-400.0,259.0,16945
99,Visaginas,445.0,154.0,18185
85,Ukmergė,142.0,33.0,20391
81,Telšiai,-312.0,275.0,21548
80,Tauragė,-320.0,38.0,21685
29,Kėdainiai,-10.0,54.0,23043
86,Utena,295.0,120.0,25496
20,Jonava,61.0,-19.0,26715
41,Mažeikiai,-302.0,388.0,32711
40,Marijampolė,-111.0,-196.0,35253
1,Alytus,7.0,-248.0,50421
53,Panevėžys,62.0,188.0,87148
74,Šiauliai,-124.0,250.0,100119
32,Klaipėda,-528.0,198.0,147898
26,Kaunas,-13.0,-83.0,286763
97,Vilnius,242.0,-146.0,557440
